bias mitigation,other,DecisionTreeRegressor,LogisticRegression,NaiveBayes,RandomForestClassifier,SupportVectorClassifier,nn keras
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",0,0,0,0,0,0
FairBalance Bias Mitigation,{},37,0,0,40,40,37
FairMask Bias Mitigation,{},15,0,0,29,40,24
LFR,{'c': 'LFR'},11,2,0,16,5,20
No Bias Mitigation,{},40,40,40,40,40,40
Reweighing Bias Mitigation,{},0,0,0,0,0,0
