bias mitigation,other,DecisionTreeRegressor,LogisticRegression,NaiveBayes,RandomForestClassifier,SupportVectorClassifier,nn keras
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",4,0,0,1,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",8,0,0,0,0,0
FairBalance Bias Mitigation,{},19,0,0,13,0,1
FairMask Bias Mitigation,{},7,0,0,1,0,3
LFR,{'c': 'LFR'},7,0,0,2,0,0
No Bias Mitigation,{},40,40,40,40,40,40
Reweighing Bias Mitigation,{},8,0,0,9,0,0
