data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Compas Dataset,RandomForestClassifier,['sex'],FairMask Bias Mitigation,{},0.015699008043168376,0.02268512469685813,0.022490622901329964,0.017584131668723597,0.01877059569394848,0.035754441361670296,0.02107884912790155,0.03617695877624265,0.018231214596117297,0.03672000855815912,0.05130858000439677,0.038945986287808126,0.04190460905632595,0.03672000855815912,0.03833897366985345,0.038945986287808126,0.0777818571325384,0.05480552117772718,0.0,0.0061470176559206054,0.06514225870048261,0.0061470176559206054,0.006147017655920606,0.06514225870048261,0.10169034556868686,0.03833897366985345,0.036720008558159115,2.72365761164148e+18,0.016688509628667844,0.014518031116505709,0.01358706121139955,0.01420351759379369,0.03121353718063604
Compas Dataset,RandomForestClassifier,['sex'],LFR,{'c': 'LFR'},0.014456404954553206,0.02169591415499302,0.020231350913879457,0.015305010154216725,0.01598827219434371,0.04685151842301328,0.016625313016224653,0.040943142047649705,0.018661901479253493,0.051482347412517275,0.06435439771265913,0.04948020183275956,0.050719840021664124,0.03197943295414263,0.04008458927790753,0.03530942959699206,0.09050635506809655,0.04931246241533669,0.01939360823037022,0.005644282835037267,0.056741563943312485,0.005644282835037267,0.005644282835037275,0.056741563943312485,0.0961494215715237,0.04008458927790753,0.03197943295414262,2.72365761164148e+18,0.01441534652041874,0.014546146563698202,0.012951617280513616,0.012422122037460803,0.028759030715362538
Compas Dataset,RandomForestClassifier,['sex'],No Bias Mitigation,{},0.01602236054857818,0.02229200556371482,0.023368008225287076,0.01720653090686791,0.0176270057649922,0.03393360317606363,0.01956342074348158,0.04093851997475821,0.018260371249185964,0.0388777376221692,0.05225601399590914,0.036658695520336265,0.046312184491927984,0.0388777376221692,0.05225601399590914,0.036658695520336265,0.07645637565700716,0.04673102605802495,0.014048541312606681,0.006045684301466683,0.05958576498798439,0.006045684301466683,0.006045684301466685,0.05958576498798439,0.10463873132365722,0.05225601399590914,0.038877737622169235,2.72365761164148e+18,0.01544161806773201,0.014624022654300623,0.014793010243754632,0.013157591719346561,0.03181004286348678
Compas Dataset,RandomForestClassifier,['sex'],Reweighing Bias Mitigation,{},0.01535949192592306,0.022065178569094027,0.023259985728650553,0.01801777340293073,0.017999009089731337,0.03198760715375703,0.019642260650443798,0.037023127496322035,0.018453360631795684,0.03340776183191972,0.05057630332012985,0.03278950544202911,0.043998608883276724,0.03340776183191972,0.05057630332012985,0.03278950544202911,0.06675568280372923,0.04178081999882841,0.013484459883731606,0.00543104421452465,0.05273500908729196,0.00543104421452465,0.00543104421452465,0.05273500908729196,0.09488166667918584,0.05057630332012985,0.03340776183191973,2.72365761164148e+18,0.017221906524949798,0.013506144263953862,0.013768241208662099,0.01296678319793824,0.029989824117636947
Compas Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}""}",0.014620969852544248,0.020984989260764537,0.02474907487566854,0.014710250560262175,0.02248142144373261,0.04029257198110065,0.024764616420109912,0.033720473067288655,0.017285108754641107,0.04241491586038721,0.04917679903895266,0.0436626153639127,0.03958136600182513,0.024424213705544724,0.03022606540854244,0.0349161092150493,0.07004077442776967,0.047608225003416084,0.01472238878642561,0.005384965544077864,0.051908735936677185,0.005384965544077864,0.0053849655440778655,0.051908735936677185,0.11028207108577365,0.03022606540854244,0.024424213705544713,2.72365761164148e+18,0.016568152313545536,0.01726408325808978,0.014852864217586649,0.014242923209331477,0.029606015840873204
Compas Dataset,SupportVectorClassifier,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.0149795547362442,0.021671301479945032,0.026438268890742106,0.015199791355531681,0.02543875201140252,0.042474758377041046,0.027067907105089998,0.0339228073779747,0.017240033771873012,0.04352311942767318,0.051470522561964285,0.04220878124716313,0.0389766372547543,0.025564440490018294,0.03554916808066723,0.036480678386206625,0.06706574813896378,0.05030102055132014,0.012201098591720125,0.00560352976189788,0.05406679577892379,0.00560352976189788,0.005603529761897872,0.05406679577892379,0.1179738552767941,0.03554916808066723,0.025564440490018304,2.72365761164148e+18,0.017662284127154794,0.018485696146982082,0.01573120097355411,0.01572268573039863,0.029906625308201516
Compas Dataset,SupportVectorClassifier,['sex'],FairBalance Bias Mitigation,{},0.016930282855283477,0.021521550064666273,0.022447556526691972,0.01731074262758744,0.0181771094488714,0.031236122571194753,0.02083393465140919,0.035632620286002906,0.019380216606332462,0.03506091156257661,0.04609586725710502,0.03490874485838002,0.04096380529662141,0.030199255400119748,0.033236628830814186,0.03490874485838002,0.06914487514243499,0.05219808870692845,0.009499481854108085,0.0055051947563926435,0.05994924070304857,0.0055051947563926435,0.00550519475639264,0.05994924070304857,0.08654379391350962,0.033236628830814186,0.03019925540011974,2.72365761164148e+18,0.01649539613338221,0.01356957319913814,0.013704826970230358,0.01580574901953665,0.03384623491821988
Compas Dataset,SupportVectorClassifier,['sex'],FairMask Bias Mitigation,{},0.01449662006515949,0.020947474362496225,0.02006568798905534,0.014358069108884352,0.017304831624715793,0.029757336052823425,0.019464132385467292,0.0349818681121839,0.018860290401587917,0.03138478964421222,0.046014486987323355,0.031866549864908784,0.04451997503568985,0.03138478964421222,0.03965835402571842,0.031866549864908784,0.05495982804039358,0.03762508613024421,0.0,0.0050689529722115585,0.045430251352209815,0.0050689529722115585,0.005068952972211569,0.045430251352209815,0.12122541764238962,0.03965835402571842,0.03138478964421223,2.72365761164148e+18,0.01527209406977951,0.015766670974396244,0.012373463832111062,0.012309160087433843,0.028281531063592505
Compas Dataset,SupportVectorClassifier,['sex'],LFR,{'c': 'LFR'},0.01454550721104816,0.021717623221624474,0.020485907068289233,0.014798405423479544,0.019070978903270582,0.03821739438670065,0.02104649264979404,0.034856432835598784,0.017242614806345095,0.04167584950171589,0.046441105721898066,0.04117109186835241,0.04093271060765717,0.027041637253169045,0.029808308981793128,0.031912100340285125,0.06684413836483452,0.04350853128680456,0.017054955816653023,0.004885803218302246,0.04768633462777931,0.004885803218302246,0.004885803218302235,0.04768633462777931,0.09918707061356989,0.029808308981793128,0.02704163725316906,2.72365761164148e+18,0.015952867401929766,0.016541187364876392,0.012395141071399534,0.013052327212899704,0.027754411236840425
Compas Dataset,SupportVectorClassifier,['sex'],No Bias Mitigation,{},0.015254180489088704,0.021053651925155625,0.020143525805867108,0.014961372542922093,0.017063678241309912,0.029076865950696865,0.019675014253229133,0.0361554470348214,0.018321602189236084,0.034038454337697935,0.046254803717433124,0.03222867175131046,0.0429391419473733,0.034038454337697935,0.046254803717433124,0.03222867175131046,0.05854177500217697,0.03485889574806297,0.013424785785387593,0.0053535895185455535,0.04512323709026001,0.0053535895185455535,0.005353589518545556,0.04512323709026001,0.14022583834164465,0.046254803717433124,0.034038454337697956,2.72365761164148e+18,0.015588036631709788,0.015581671537040404,0.012318877376548678,0.012773512949021303,0.030036809720817622
Compas Dataset,SupportVectorClassifier,['sex'],Reweighing Bias Mitigation,{},0.01390035797274311,0.019997381029482255,0.018104024302431136,0.013590626493374497,0.0172969118666979,0.03435633127606667,0.018363435016281467,0.03894706396571131,0.017362845763267746,0.03525663899500449,0.0494203352271643,0.034330066688612576,0.046807720335016186,0.027120116777432254,0.030564264899909103,0.034330066688612576,0.05535826679921918,0.0444041715709145,0.0071876892335531765,0.005216297638426307,0.049503877069802235,0.005216297638426307,0.0052162976384263135,0.049503877069802235,0.11885832534233795,0.030564264899909103,0.02712011677743224,2.72365761164148e+18,0.015254180489088682,0.01509438398140648,0.011117645581805445,0.013605301456439513,0.027628630861461733
Compas Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}""}",0.014289511157037376,0.027527272368248895,0.060093380248148115,0.021512875306617305,0.06538939230188226,0.0807394219489145,0.0643218933841066,0.040929548787079786,0.01586148733381412,0.04367937170229897,0.051221426824707386,0.04390928126178022,0.04545334884250634,0.024426059247189044,0.033194092946589794,0.037862643171790826,0.07415542434034257,0.053074677491818205,0.014725420562522495,0.005913420198469228,0.058476003109954974,0.005913420198469228,0.005913420198469236,0.058476003109954974,0.12601604364980334,0.033194092946589794,0.024426059247189033,2.72365761164148e+18,0.035319214683974615,0.03437222401184343,0.034057450654721204,0.034175864429229916,0.026163142894211785
Compas Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.015482677955279486,0.028614236086049866,0.060779365273466855,0.022946009836643584,0.06497700892412496,0.07930153680397163,0.06457276680854858,0.04020721894726528,0.017501826152815144,0.04547640609643943,0.055906167026275155,0.045786931436892976,0.04530022736335578,0.027683719174160334,0.03308341757717572,0.0342037191766505,0.07901975059181464,0.048799783224029274,0.014705196915146285,0.005347236701374412,0.05405960842752132,0.005347236701374412,0.005347236701374409,0.05405960842752132,0.10953772756007461,0.03308341757717572,0.02768371917416034,2.72365761164148e+18,0.0357349225473693,0.03402860272594208,0.03439169915819358,0.033478935926025064,0.028595859592715843
