bias mitigation,other,DecisionTreeRegressor,LogisticRegression,NaiveBayes,RandomForestClassifier,SupportVectorClassifier,nn keras
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",5,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",0,0,0,0,0,0
FairBalance Bias Mitigation,{},10,0,0,11,0,0
FairMask Bias Mitigation,{},19,1,0,8,6,3
No Bias Mitigation,{},40,40,40,40,40,40
Reweighing Bias Mitigation,{},9,0,0,10,0,0
