time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-01-26 00:42:11.395022,2,Adult Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.8492477740251765,0.7456949384130045,0.5875556567180933,-0.1371671150427051,-0.1839820881566919,-0.204402579368308,3.708813057426175,0.0453538629016513,3.403076286695176e-05,4.490645297112072e-05,0.0001032272118398,0.0015361971755022,0.0047688298896799,0.0002520526405816,0.7576713022649014,1.2189253708405331e-05,9049994855040422129
2024-01-26 00:42:11.388270,2,Adult Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1954, latent_dim=29, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.00966, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.0088, 'lr': 0.06, 'optimizer': 'Adam', 'layers': (25, 25, 25, 10), 'input_dim': 34, 'sens_col_ids': [33]}, Pos Y vec loss: {'weight': 1560000.0}, Reconstruction loss: {'weight': 17.25}, KL divergence loss: {'weight': 0.0032}""}",0.8186981885170402,0.6828029338667636,0.4902592948278227,-0.0728090726060243,-0.0882361790306791,-0.1429137407281156,2.2602954714224577,0.0317032377961301,2.1210309266102305e-07,1.7462364065680049e-06,0.0005407586866819,0.0079730910357845,0.0187715380832861,0.0033141050927221,2.179385862374022,0.0001626174929778,9049994855040422129
2024-01-26 00:42:11.381468,2,Adult Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1412, latent_dim=25, mask_values=None vae_layers=(150, 100), lr=0.01974, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 7740.0, 'sens_col_ids': [33]}, Pos Y vec loss: {'weight': 912000.0}, Reconstruction loss: {'weight': 13.8}, KL divergence loss: {'weight': 0.00255}""}",0.7996622658888548,0.6679660866214093,0.37377305778321,0.093313782994512,0.1407425308383321,-0.0058867113475728,0.2397862792270156,0.0065956520374293,0.0001057923092172,0.0036446757417634,6.873776725298065e-05,0.002650023178117,0.0076101579887934,0.0008837560451306,0.0084835724860778,1.6943008256729695e-06,9049994855040422129
2024-01-26 00:42:11.374624,2,Adult Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1468, latent_dim=18, mask_values=None vae_layers=(150, 100), lr=0.023799999999999998, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 804000.0}, Reconstruction loss: {'weight': 19.8}, KL divergence loss: {'weight': 0.00485}""}",0.8002763279091188,0.6646228896647377,0.3808603250227615,0.0381393986319638,0.0587296656707429,-0.0415686458677006,0.3745291431452533,0.0092192730256053,1.908927833949514e-06,0.0001051436469938,0.0010985637787958,0.0028004104387766,0.0081854489886863,0.0009201146705731,0.0776354491373343,4.5218487577864246e-05,9049994855040422129
2024-01-26 00:42:11.367760,2,Adult Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1432, latent_dim=30, mask_values=None vae_layers=(150, 100), lr=0.01694, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.10890000000000001, 'lr': 0.033, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 804000.0}, Reconstruction loss: {'weight': 9.45}, KL divergence loss: {'weight': 0.0069500000000000004}""}",0.7926005526558182,0.6378776299226758,0.3749204904027239,0.119537412786912,0.1826451631825894,0.0103644841014252,0.0681504549223346,0.0022997159986723,0.0001546231545499,0.0021585055336877,0.0002106677792649,0.0008582058832544,0.0050748474516908,7.273230703114883e-07,8.745868076884267e-06,3.5208970740665235e-08,9049994855040422129
2024-01-26 00:42:11.358475,1,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.8308259134172551,0.6633540372670808,0.6560196560196561,-0.1657032879561213,-0.2125993454885459,-0.2370205453828154,2.668950099571078,0.052557543804709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9049994855040422128
2024-01-26 00:41:19.886402,1,Adult Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.8332821614983114,0.6658506731946144,0.6683046683046683,-0.1316694903614844,-0.1414679756895746,-0.231458225635305,2.4058302106900453,0.0513241407538747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9049994855040422128
2024-01-26 00:41:19.858986,1,Adult Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1324, latent_dim=31, mask_values=None vae_layers=(100, 100, 30), lr=0.00826, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.0109, 'lr': 0.0675, 'optimizer': 'Adam', 'layers': (60, 10, 10, 10), 'input_dim': 34, 'sens_col_ids': [33]}, Pos Y vec loss: {'weight': 1356000.0}, Reconstruction loss: {'weight': 12.15}, KL divergence loss: {'weight': 0.0053}""}",0.7697267424009825,0.559040590405904,0.3722358722358722,0.1088527948128728,0.1792660121552127,0.0015368225227186,0.009178481475463,0.0003407789688754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9049994855040422128
2024-01-26 00:33:43.204474,1,Adult Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1501, latent_dim=21, mask_values=None vae_layers=(128, 32), lr=0.01288, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9090.0, 'sens_col_ids': [33]}, Pos Y vec loss: {'weight': 948000.0}, Reconstruction loss: {'weight': 8.4}, KL divergence loss: {'weight': 0.0038}""}",0.7856923549278477,0.6146245059288538,0.3820638820638821,0.0375864151791914,0.0535063113604488,-0.0359195597758067,0.2734439726594864,0.0079648953356079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9049994855040422128
2024-01-26 00:23:32.963673,1,Adult Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=823, latent_dim=26, mask_values=None vae_layers=(45, 30, 30, 30), lr=0.02128, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1620000.0}, Reconstruction loss: {'weight': 10.8}, KL divergence loss: {'weight': 0.0069500000000000004}""}",0.8050353085661652,0.6284074605451937,0.538083538083538,-0.0087872459416065,0.0502103786816269,-0.1347723206997877,1.087230437884109,0.0298847601476953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9049994855040422128
