time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-02-03 05:35:33.077950,5,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6645340751043116,0.6709728936887445,0.7613396532638979,0.0217466230219213,0.0364500459140139,0.0347292837837118,0.0474079624680375,-0.0072822916985987,0.0543655615410965,0.007497664233859,0.0001504175363325,0.0001950454096635,0.0010898354666106,0.0013420606492392,0.0022258496652738,0.0006088531099672,0.0013069406070367,0.0014959055950062,0.0010491880041515,1.9851582761476103e-05,7414435816803526667
2024-02-03 05:35:33.047399,5,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 7}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6748261474269819,0.6829070956779646,0.7595925316888501,-0.0013828745144045,0.0137332225454994,0.0383250296329886,0.0575824535118471,-0.0316448716996041,0.1014921749417096,0.0132919117689729,3.5902128013525096e-05,0.0001605797337439,0.0007087316959715,0.0028224945973315,0.0045674341928858,0.0013555990428846,0.001440296641926,0.0033829720129351,0.0029330950274398,4.084520388630422e-05,7414435816803526667
2024-02-03 05:35:32.999505,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.6439499304589708,0.6428571428571429,0.7342105263157894,-0.0784029181351907,-0.0047159893064191,0.0784029181351907,0.0047159893064191,-0.0883872651356993,0.1539545454545454,0.0196552544582667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:19.708372,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6467315716272601,0.6418918918918919,0.75,-0.1184524392877094,-0.0599261061548166,0.1184524392877094,0.0599261061548166,-0.1300539318023661,0.2265303030303032,0.02892094374624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:19.649851,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6773296244784422,0.6728971962616822,0.7578947368421053,-0.1024569812762092,-0.0589949235529122,0.1024569812762092,0.0589949235529122,-0.1196764091858038,0.2155075187969926,0.0266132261427845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:19.552001,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6564673157162726,0.6430107526881721,0.7868421052631579,-0.0190312424523097,-0.0023129374305368,0.0190312424523097,0.0023129374305368,-0.0361778009742518,0.057003837719298,0.0080450943107894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:19.454137,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 7}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6369958275382476,0.6296296296296297,0.7605263157894737,0.0043764561575725,0.0136072812471839,0.0043764561575725,0.0136072812471839,-0.0111778009742519,0.0176123903508771,0.0024856807380053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:07.416724,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6787204450625869,0.6602150537634408,0.8078947368421052,-0.0258709268768703,-0.0378781051935958,0.0258709268768703,0.0378781051935958,-0.0486864996520529,0.0772213024282562,0.0108267354790787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:07.315992,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.6856745479833102,0.6878048780487804,0.7421052631578947,-0.0108922474623238,0.0076296897059265,0.0108922474623238,0.0076296897059265,-0.0321677105080028,0.0574937810945275,0.0071533442561431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:07.226612,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.6759388038942976,0.6567164179104478,0.8105263157894737,-0.2082828753484508,-0.1364933465501187,0.2082828753484508,0.1364933465501187,-0.2217118997912317,0.383393501805054,0.0493035257978841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
