time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
07:28.5,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.662030598,0.709090909,0.675742574,-0.043249582,-0.011351909,0.012885154,0.023589744,0.001779631,0.023872436,0,0,0,0,0,0,0,0,0,15.5,,,,,,,,
07:28.3,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.682892907,0.703703704,0.752475248,0.078229914,0.139739327,0.146022409,0.202054264,0.020167866,0.225714683,0,0,0,0,0,0,0,0,0,15.6,,,,,,,,
07:28.2,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.685674548,0.701357466,0.767326733,0.16789853,0.213813401,0.230056022,0.285173611,0.031774157,0.335715579,0,0,0,0,0,0,0,0,0,15.7,,,,,,,,
07:28.1,1,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.66759388,0.681318681,0.767326733,-0.015311017,0.043955204,0.047268908,0.0703125,0.006528539,0.072906771,0,0,0,0,0,0,0,0,0,15.8,,,,,,,,
02:52.3,1,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.682892907,0.70657277,0.745049505,0.03520066,0.102702289,0.105672269,0.155246914,0.043776997,0.418885175,0,0,0,0,0,0,0,0,0,15.9,-0.167411763,-0.189083615,-0.198903967,0.378075397,0,0,0,0
02:38.0,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.684283727,0.724705882,0.736842105,0.061214295,0.083018868,0.11481437,0.168162461,0.018484953,0.184118123,0,0,0,0,0,0,0,0,0,16,,,,,,,,
02:34.8,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.685674548,0.722222222,0.746411483,0.114547628,0.123018868,0.163090232,0.223095129,0.0262573,0.252437367,0,0,0,0,0,0,0,0,0,16.1,,,,,,,,
02:34.6,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.664812239,0.708235294,0.720095694,-0.007013725,0.026163522,0.045704674,0.072826129,0.007358389,0.075614167,0,0,0,0,0,0,0,0,0,16.2,,,,,,,,
57:57.1,1,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.670375522,0.709976798,0.732057416,-0.036465048,-0.002704403,0.017974288,0.029283953,0.04531483,0.396580535,0,0,0,0,0,0,0,0,0,16.3,-0.202826488,-0.156037001,-0.22382487,0.427057851,0,0,0,0
57:38.9,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.66759388,0.711583924,0.720095694,0.023020997,0.026163522,0.066466418,0.103630437,0.010701001,0.109402493,0,0,0,0,0,0,0,0,0,16.4,,,,,,,,
57:38.8,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.652294854,0.72459893,0.648325359,-0.02366385,0.015345912,0.030890304,0.056697393,0.004973296,0.05836815,0,0,0,0,0,0,0,0,0,16.5,,,,,,,,
57:38.7,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.662030598,0.710843373,0.705741627,0.102004062,0.150188679,0.158152109,0.224824076,0.025462269,0.254665277,0,0,0,0,0,0,0,0,0,16.6,,,,,,,,
57:38.6,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.66759388,0.70669746,0.732057416,0.23478184,0.260188679,0.28229004,0.341100465,0.045448303,0.417184206,0,0,0,0,0,0,0,0,0,16.7,,,,,,,,
57:38.5,1,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.66620306,0.70990566,0.720095694,0.02114829,0.05245283,0.07336297,0.113166284,0.011811336,0.120097782,0,0,0,0,0,0,0,0,0,16.8,,,,,,,,
52:57.1,1,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.677329624,0.720379147,0.727272727,-0.006503865,0.029874214,0.050931155,0.081154038,0.049599486,0.414967908,0,0,0,0,0,0,0,0,0,16.9,-0.21963278,-0.173904576,-0.242692794,0.480350468,0,0,0,0
52:42.5,3,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.713333333,0.783001568,0.819851978,-0.005558565,0.01031627,-0.024498377,0.077491566,0.0111,0.073830071,0.000422222,2.39E-05,0.001404471,0.00413498,0.030422488,0.004577017,0.004505825,8.62E-05,0.003756306,17,,,,,,,,
52:42.4,3,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.71,0.779351198,0.81867366,-0.07282123,-0.038640733,-0.069164903,0.102055032,0.011266667,0.094623661,0.000466667,4.70E-06,0.002729973,0.008958617,0.022000305,0.002564831,0.006323696,4.27E-05,0.005055397,17.1,,,,,,,,
52:42.4,3,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.723333333,0.754626249,0.901190641,-0.04793465,0.079064965,-0.017024572,0.0235592,0.0041,0.023168962,0.000422222,0.001486289,0.000351941,0.000127803,0.003731937,0.000222436,0.000251848,9.13E-06,0.000241002,17.2,,,,,,,,
52:42.4,3,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.726666667,0.751467025,0.908560911,0.015384985,0.037864666,0.004805555,0.035393667,0.0065,0.03551623,0.002822222,0.001812258,0.00162741,0.003091576,0.000676825,0.001298541,0.000461584,1.74E-05,0.000470531,17.3,,,,,,,,
52:42.3,3,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.73,0.747351814,0.928168754,0.087024534,0.0362927,0.051051279,0.095205898,0.0173,0.099060893,0.0014,0.001432777,0.000215178,0.019071961,0.005783539,0.006429265,0.000899509,6.08E-05,0.001220564,17.4,,,,,,,,
52:42.3,3,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.69,0.822547509,0.716876146,0.026689602,0.107926196,0.040055728,0.120083777,0.014233333,0.124655502,6.67E-05,0.002007091,0.000721481,0.002308358,0.000893622,0.005893542,0.001094238,8.40E-06,0.001577004,17.5,,,,,,,,
52:42.2,3,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.736666667,0.74754037,0.942431804,0.057055788,0.047108721,0.039788615,0.04946761,0.0096,0.051128168,0.001688889,0.001595341,0.000195574,0.009367397,0.001195376,0.001246107,0.000788491,3.46E-05,0.000861026,17.6,,,,,,,,
52:42.2,3,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.733333333,0.750597897,0.927579594,-0.023310075,-0.008446835,-0.03484244,0.042351397,0.005666667,0.040740891,0.003355556,0.002668563,0.000543032,0.005934988,0.002420345,0.00109976,0.00162273,2.02E-05,0.001467903,17.7,,,,,,,,
52:42.2,3,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.703333333,0.715301358,0.962775134,-0.03545157,-0.041193689,-0.037858351,0.134448191,0.018533333,0.123620165,0.001155556,0.001735948,0.000260715,0.025026942,0.015352147,0.017246754,0.012453131,9.07E-05,0.008839164,17.8,,,,,,,,
52:42.1,3,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.73,0.754439653,0.907825424,-0.045291092,0.018391598,-0.042070369,0.076021414,0.012433333,0.071170978,0.002066667,0.001317001,0.001389206,0.004964642,0.001302417,0.003996989,0.005448141,0.000158202,0.004482876,17.9,,,,,,,,
52:42.1,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.71,0.787878788,0.776119403,0.054834977,0.256728778,0.039049236,0.05707196,0.0092,0.058765309,0,0,0,0,0,0,0,0,0,18,,,,,,,,
52:40.2,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.69,0.78125,0.746268657,0.00721593,0.161490683,-0.013582343,0.021505376,0.0032,0.021277398,0,0,0,0,0,0,0,0,0,18.1,,,,,,,,
52:40.2,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.72,0.740740741,0.895522388,-0.034207161,0.152173913,-0.033106961,0.041935484,0.0078,0.041080026,0,0,0,0,0,0,0,0,0,18.2,,,,,,,,
50:45.8,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.73,0.738095238,0.925373134,-0.000551851,0.039337474,-0.039049236,0.047866805,0.0092,0.046756484,0,0,0,0,0,0,0,0,0,18.3,,,,,,,,
50:41.2,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.72,0.729411765,0.925373134,0.124200767,0.108695652,0.072156197,0.080645161,0.017,0.084083117,0,0,0,0,0,0,0,0,0,18.4,,,,,,,,
50:41.1,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.7,0.813559322,0.71641791,-0.007314882,0.066252588,-0.060271647,0.10906298,0.0142,0.103515497,0,0,0,0,0,0,0,0,0,18.5,,,,,,,,
50:41.0,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.73,0.73255814,0.940298507,0.113331202,0.086956522,0.056027165,0.062618596,0.0132,0.064665031,0,0,0,0,0,0,0,0,0,18.6,,,,,,,,
50:40.9,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.72,0.734939759,0.910447761,0.03630039,-0.008281573,-0.022920204,0.028095734,0.0054,0.027708289,0,0,0,0,0,0,0,0,0,18.7,,,,,,,,
50:40.9,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.69,0.6875,0.985074627,0.104619565,0.02173913,0.064516129,0.064516129,0.0152,0.066691374,0,0,0,0,0,0,0,0,0,18.8,,,,,,,,
48:49.4,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.72,0.746835443,0.880597015,-0.122107539,0.035196687,-0.128183362,0.180406213,0.0302,0.165858627,0,0,0,0,0,0,0,0,0,18.9,,,,,,,,
48:46.0,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.69,0.784810127,0.815789474,-0.094636015,-0.122605364,-0.118214105,0.167988464,0.0233,0.155283008,0,0,0,0,0,0,0,0,0,19,,,,,,,,
48:44.2,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.7,0.780487805,0.842105263,-0.019923372,-0.084291188,-0.057838661,0.074363992,0.0114,0.071728851,0,0,0,0,0,0,0,0,0,19.1,,,,,,,,
48:44.1,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.75,0.807228916,0.881578947,-0.047701149,0.082375479,-0.020801624,0.025529265,0.0041,0.025208836,0,0,0,0,0,0,0,0,0,19.2,,,,,,,,
46:49.3,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.79,0.808988764,0.947368421,0.090038314,0.068965517,0.049213597,0.053150685,0.0097,0.054615317,0,0,0,0,0,0,0,0,0,19.3,,,,,,,,
46:45.3,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.78,0.8,0.947368421,0.234482759,0.068965517,0.136986301,0.136986301,0.027,0.147324715,0,0,0,0,0,0,0,0,0,19.4,,,,,,,,
46:45.2,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.69,0.881355932,0.684210526,0.094636015,0.122605364,0.054287164,0.08622079,0.0107,0.090166301,0,0,0,0,0,0,0,0,0,19.5,,,,,,,,
46:45.2,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.79,0.802197802,0.960526316,0.13697318,0.051724138,0.072552004,0.075342466,0.0143,0.078331843,0,0,0,0,0,0,0,0,0,19.6,,,,,,,,
46:45.0,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.81,0.820224719,0.960526316,0.025862069,0.051724138,-0.00152207,0.001712329,0.0003,0.001710864,0,0,0,0,0,0,0,0,0,19.7,,,,,,,,
46:45.0,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.75,0.774193548,0.947368421,0.04559387,0.068965517,0.045154744,0.046891465,0.0089,0.048026494,0,0,0,0,0,0,0,0,0,19.8,,,,,,,,
44:53.4,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.79,0.802197802,0.960526316,0.048084291,0.051724138,0.021816337,0.023561644,0.0043,0.023843658,0,0,0,0,0,0,0,0,0,19.9,,,,,,,,
44:50.2,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.74,0.776315789,0.867647059,0.023125342,-0.103174603,0.005669738,0.007414272,0.0008,0.007441895,0,0,0,0,0,0,0,0,0,20,,,,,,,,
44:48.4,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.74,0.776315789,0.867647059,-0.205756249,-0.193121693,-0.136073707,0.210295728,0.0192,0.190864733,0,0,0,0,0,0,0,0,0,20.1,,,,,,,,
44:48.3,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.7,0.715909091,0.926470588,-0.061895639,0.002645503,0.002834869,0.003212851,0.0004,0.003218024,0,0,0,0,0,0,0,0,0,20.2,,,,,,,,
42:55.2,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.66,0.707317073,0.852941176,-0.043331509,0.005291005,0.004252303,0.005163511,0.0006,0.005176888,0,0,0,0,0,0,0,0,0,20.3,,,,,,,,
42:51.5,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.69,0.712643678,0.911764706,-0.097609925,-0.068783069,-0.055988661,0.067986231,0.0079,0.065774848,0,0,0,0,0,0,0,0,0,20.4,,,,,,,,
42:51.4,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.68,0.772727273,0.75,-0.007252326,0.134920635,0.126151665,0.164967563,0.0178,0.180284708,0,0,0,0,0,0,0,0,0,20.5,,,,,,,,
42:51.3,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.69,0.707865169,0.926470588,-0.079137019,0.002645503,-0.009213324,0.010441767,0.0013,0.010387628,0,0,0,0,0,0,0,0,0,20.6,,,,,,,,
42:51.2,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.67,0.696629213,0.911764706,-0.132092684,-0.068783069,-0.080085046,0.097246127,0.0113,0.09280352,0,0,0,0,0,0,0,0,0,20.7,,,,,,,,
42:51.1,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.67,0.684210526,0.955882353,-0.256568144,-0.214285714,-0.223245925,0.291936979,0.0315,0.256142626,0,0,0,0,0,0,0,0,0,20.8,,,,,,,,
41:01.0,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.68,0.714285714,0.882352941,-0.061850027,-0.031746032,-0.019844082,0.024096386,0.0028,0.023810649,0,0,0,0,0,0,0,0,0,20.9,,,,,,,,
40:57.4,3,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.680111266,0.689243703,0.760199069,0.067663181,0.093082007,0.116313,0.165568941,0.017780194,0.181646156,7.35E-05,9.84E-05,0.000127713,0.001026732,0.003530406,0.000558021,0.000881737,1.66E-05,0.001289836,21,,,,,,,,
40:57.4,3,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.682892907,0.689483476,0.768661917,0.106797234,0.140694723,0.157800191,0.213235745,0.0240031,0.239851441,8.64E-05,8.82E-05,0.000237261,0.000148658,0.001246026,8.31E-06,3.07E-05,1.95E-07,4.96E-05,21.1,,,,,,,,
40:57.3,3,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.671766342,0.678622314,0.765367816,-0.053739776,-0.016740131,-0.002779624,0.090893825,0.008306881,0.088528562,0.000166357,0.000232223,0.000620778,0.002269211,0.001083117,0.003398032,0.002001108,1.31E-05,0.001506459,21.2,,,,,,,,
40:57.3,3,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.675938804,0.677115847,0.782937594,-0.028150024,0.024800495,0.026959603,0.049448623,0.036095566,0.282389513,7.87E-05,2.82E-05,0.000135899,0.000273513,0.000139438,0.00071119,0.00074466,4.28E-05,0.001939895,21.3,-0.137829493,-0.0970202,-0.164368903,0.28525286,0.001086737,0.000307806,0.000782207,0.002640264
40:57.2,3,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.678256838,0.681207335,0.778694264,-0.00495832,0.04013912,0.049935171,0.074602064,0.00752668,0.077890006,0.000253189,0.00026746,2.59E-05,0.000145522,2.40E-05,0.000283794,0.000616431,5.59E-06,0.000715804,21.4,,,,,,,,
40:57.2,3,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.672229949,0.704276617,0.695112219,-0.02608841,0.010719809,0.027545759,0.048318996,0.004143446,0.050147163,0.000147443,0.000261014,1.64E-05,0.00078806,3.52E-05,0.000371556,0.001115356,7.88E-06,0.001249609,21.5,,,,,,,,
40:57.1,3,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.677329624,0.686866386,0.758474631,0.068567601,0.100308831,0.118869784,0.168875983,0.018003937,0.185508206,0.000171515,0.000238837,1.95E-05,0.00013418,6.44E-05,0.000392036,0.000737903,6.39E-06,0.001061727,21.6,,,,,,,,
40:57.1,3,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.675938804,0.679349577,0.777066541,0.198021635,0.183845615,0.234788623,0.286734696,0.035691925,0.338100969,0.000201176,0.000245964,3.61E-05,0.00027245,0.000127687,0.000108961,0.000200838,9.04E-07,0.000400026,21.7,,,,,,,,
40:57.0,3,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.671766342,0.676997287,0.769434842,-0.031782774,0.003293848,0.021068527,0.032214959,0.003144015,0.033225873,0.000190859,0.000166163,2.33E-05,0.000691611,0.001304142,0.000389877,0.000887734,8.31E-06,0.00096787,21.8,,,,,,,,
40:57.0,3,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.681502086,0.683070511,0.783813594,-0.038475635,0.013416292,0.019073144,0.038549066,0.038450354,0.306541623,0.000163778,0.000154455,2.10E-05,0.000380791,0.00191607,0.00081348,0.001141095,2.89E-05,0.001798385,21.9,-0.154555271,-0.101582385,-0.180417343,0.319603839,0.00051944,0.001281546,0.000485955,0.002206924
40:56.9,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.68984701,0.703271028,0.758186398,0.061552634,0.041501533,0.105899356,0.155238829,0.015591118,0.168701329,0,0,0,0,0,0,0,0,0,22,,,,,,,,
40:52.3,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.692628651,0.702764977,0.768261965,0.115485932,0.102856502,0.161857837,0.219785905,0.023829651,0.248186917,0,0,0,0,0,0,0,0,0,22.1,,,,,,,,
40:52.2,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.682892907,0.699763593,0.74559194,-0.019773901,0.01304868,0.038799107,0.062563559,0.00571223,0.06460632,0,0,0,0,0,0,0,0,0,22.2,,,,,,,,
36:18.0,1,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.681502086,0.681034483,0.795969773,-0.019615903,0.008113363,0.035435554,0.052542373,0.035542333,0.279183327,0,0,0,0,0,0,0,0,0,22.3,-0.143203425,-0.116242038,-0.175778252,0.300875912,0,0,0,0
36:02.6,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.698191933,0.702702703,0.785894207,0.009490449,0.03581844,0.069333859,0.102805377,0.010207733,0.108482469,0,0,0,0,0,0,0,0,0,22.4,,,,,,,,
