time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
22:35.7,3,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.683356514,0.701467554,0.778224016,-0.019142295,0.002131023,0.030119097,0.058768456,0.037935163,0.321494237,8.94E-05,3.64E-05,0.001250578,0.000971135,0.002747446,0.001832145,0.002135984,3.07E-05,0.003757075,13.3,-0.147276162,-0.147504761,-0.174742662,0.309731201,0.001626311,0.000193154,0.001320287,0.007542307
22:35.6,3,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.677793231,0.697483074,0.772538547,-0.004576579,0.012823897,0.041617499,0.063135275,0.006283517,0.066174425,0.00015647,0.000139142,0.001842684,0.000420229,0.001564826,0.000719177,0.001705852,1.74E-05,0.001902367,13.4,,,,,,,,
22:35.6,3,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.662494205,0.712379372,0.688928793,-0.050499834,-0.042192216,-0.00689337,0.065600991,0.005638078,0.064151188,7.26E-05,8.00E-05,0.001571947,0.000644869,0.00402417,0.001710734,0.001478847,1.19E-05,0.00125917,13.5,,,,,,,,
22:35.5,3,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.678720445,0.705272755,0.753871644,0.070997909,0.106379987,0.123265253,0.173134764,0.018658403,0.19249009,0.000150882,1.65E-05,0.001590438,0.00082528,0.002995651,0.001685938,0.003335301,3.92E-05,0.004690248,13.6,,,,,,,,
22:35.5,3,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.681965693,0.701384496,0.774066561,0.183448984,0.196723519,0.228116761,0.279055402,0.034779542,0.329917346,0.000111334,1.87E-05,0.001395552,0.001385753,0.003603002,0.002029041,0.002844418,6.05E-05,0.005436745,13.7,,,,,,,,
22:35.5,3,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.670839128,0.690862356,0.770888382,-0.022589081,0.018503765,0.028868834,0.078172282,0.007901305,0.08092762,3.14E-05,0.000181324,0.001848992,0.001522834,0.001776245,0.002091324,0.000674207,7.87E-06,0.000856305,13.8,,,,,,,,
22:35.4,3,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.680574873,0.706258605,0.757764369,0.000803387,0.022317168,0.05060601,0.081218742,0.042086347,0.365153473,5.59E-06,0.00013595,0.00098607,0.000656813,0.004750901,0.002033535,0.003650256,4.80E-05,0.005363459,13.9,-0.168814412,-0.162429023,-0.195107003,0.364263846,0.001675462,0.000765355,0.001639671,0.010180133
22:35.3,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.673157163,0.68869936,0.783980583,0.110274725,0.082201087,0.13256767,0.174691977,0.020899062,0.191998601,0,0,0,0,0,0,0,0,0,14,,,,,,,,
22:29.1,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.678720445,0.690526316,0.796116505,0.147652719,0.136548913,0.175120862,0.218513642,0.027607498,0.246557585,0,0,0,0,0,0,0,0,0,14.1,,,,,,,,
22:29.0,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.657858136,0.67219917,0.786407767,0.001901733,0.009103261,0.030675599,0.044135301,0.004835955,0.045138904,0,0,0,0,0,0,0,0,0,14.2,,,,,,,,
