time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|mean_pred,VAR|sex|unprivileged mean_pred,VAR|sex|privileged mean_pred,VAR|sex|unprivileged acc,VAR|sex|privileged acc,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[ERD] Error Rate Difference,VAR|sex|[A_AOD] Absolute Average Odds Difference,VAR|sex|[A_EOD] Absolute Equal Opportunity Difference,VAR|sex|[A_SPD] Absolute Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,id
2024-04-25 06:12:12.244767,3,Default Dataset,FYP VAE,DecisionTreeRegressor,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.727,0.8322103714946522,0.8164444039115452,0.8242170682461131,0.7692222222222224,0.7735677612367452,0.7628597132094339,0.731961089807232,0.7194315614834231,0.006457238239308623,0.003527445978501446,0.010708048027311215,0.012529528323808992,0.026475418459061317,0.008349458211532657,0.01810862622877792,1.0142860318101266,0.023335836719902064,0.0,0.00433400000000003,0.07779931553250673,0.00433400000000003,0.07779931553250673,0.008349458211532657,0.026475418459061317,0.00013874074074074046,0.0001587417349215997,2.9192830166409287e-05,6.352366419647684e-05,3.70617283950614e-05,0.00011590340815470051,9.98704681090944e-05,0.00011446328079198135,0.00018440274600807767,0.0007919928203549911,8.413348644553126e-05,0.00030049387860304084,1.7742416117337104e-05,0.00013274096345177594,2.6862909150647183e-05,8.723382726466082e-05,0.0005278889236518805,0.00014120356157941354,0.0,4.973448987654331e-06,0.0015344867875780874,4.973448987654331e-06,0.0015344867875780874,2.6862909150647183e-05,0.00013274096345177738,749426789439059246
2024-04-25 06:12:12.107826,3,Default Dataset,No Bias Mitigation,DecisionTreeRegressor,,['sex'],{},0.7262222222222222,0.8332460241327028,0.8136050980446189,0.823293590031633,0.7655555555555557,0.7745861075320436,0.7522426095749771,0.7362781724649198,0.7109041126851295,0.0123471830440317,0.019335142278317,0.0223434979570663,0.0253740597797901,0.0324021523053919,0.019335142278317,0.0259880824350045,1.0301993849216635,0.033373551595923,0.0391111111111111,0.006242037037037,0.1091520033619841,0.006242037037037,0.1091520033619841,0.019335142278317,0.0324021523053919,0.0001378024691358,0.0001306080887451,2.961090132953497e-05,6.599738003165442e-05,1.506172839506178e-06,4.890181260061664e-05,0.0001836884973455,0.0001705537380521,8.530738068244304e-05,0.0009178773892804,0.0001957462125962,0.0004205419758951,1.5014017399088366e-05,2.0430844381484508e-05,0.0001957462125962,0.000244393448204,0.0007613752948706,0.0003983622512153,8.565432098765433e-05,1.406081555829897e-05,0.0042202753528342,1.406081555829897e-05,0.0042202753528342,0.0001957462125962,2.0430844381484823e-05,749426789439059246
2024-04-25 06:12:11.987274,3,Default Dataset,FYP VAE,RandomForestClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.8173333333333334,0.8426221871001021,0.943356958850902,0.8900820066725821,0.8777777777777778,0.8850628715719059,0.8667739236026649,0.8263958735164024,0.8037868985912007,0.0093278642954235,0.0103347064401294,0.018288947969241,0.0226089749252016,0.0093278642954235,0.0103347064401294,0.018288947969241,1.0211130915122837,0.0206745427794151,0.0,0.0043806296296296,0.1479836688932286,0.0043806296296296,0.1479836688932286,0.0103347064401294,0.0093278642954235,1.4296296296296304e-05,7.840020125366843e-05,4.173325382425408e-05,4.135258325502926e-06,8.180246913580293e-05,7.696640835665532e-05,9.139317410029889e-05,1.4330669186150185e-05,3.369033391629594e-05,1.2786287727682243e-05,1.2907837807610534e-05,1.2274493576685022e-06,3.3803712697757494e-05,1.2786287727682243e-05,1.2907837807610534e-05,1.2274493576685022e-06,2.131426626934699e-06,1.9625000121400123e-06,0.0,8.619695747598994e-08,6.278151748681738e-05,8.619695747598994e-08,6.278151748681738e-05,1.2907837807610534e-05,1.2786287727682144e-05,749426789439059246
2024-04-25 06:12:11.867580,3,Default Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.8171111111111111,0.8436309444974551,0.9413850720931866,0.8897548129899736,0.8748888888888889,0.8829502953526189,0.8628234736664718,0.8264092999642908,0.8031250676803254,0.0110494803413621,0.0120691143773253,0.020126821686147,0.0232842322839654,0.0110494803413621,0.0120691143773253,0.020126821686147,1.0232770580293904,0.022696044845603,0.0173333333333333,0.0048291851851851,0.163336286258126,0.0048291851851851,0.163336286258126,0.0120691143773253,0.0110494803413621,1.254320987654334e-05,7.41611758697638e-05,6.813694843361983e-05,3.909597272975359e-06,9.720987654320954e-05,0.0001575525157181,3.924479093322207e-05,8.538393566054914e-06,5.698052650490789e-05,2.5449328347028183e-05,4.9335316676744975e-05,4.2799078340613776e-05,5.899262870377955e-05,2.5449328347028183e-05,4.9335316676744975e-05,4.2799078340613776e-05,5.525735176915816e-05,5.029285151015851e-05,2.888888888888889e-06,2.586154150891661e-06,0.0040152825323754,2.586154150891661e-06,0.0040152825323754,4.9335316676744975e-05,2.5449328347028545e-05,749426789439059246
2024-04-25 06:12:11.731087,3,Default Dataset,FYP VAE,NaiveBayes,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.6194444444444445,0.8918972063648568,0.5854123892175749,0.706512766729669,0.5147777777777777,0.5329171713069677,0.487713966119857,0.6249413950229253,0.6114082517397641,0.0376811083252882,0.0348254494118798,0.0452032051871107,0.0135331432831612,0.0376811083252882,0.0348254494118798,0.0452032051871107,1.0948306811048063,0.0857182781230172,0.0,0.0108534444444444,0.0954542011925718,0.0108534444444444,0.0954542011925718,0.0348254494118798,0.0376811083252882,0.000227061728395,4.848985916131348e-06,0.0006873213658387,0.0003578041466066,0.0007343950617283,0.0005168780077806,0.0011126496348543,0.0002157716101211,0.0002925756813652,0.0001224213921238,0.0002224912353808,0.0001782494963806,0.0001006421415227,0.0001224213921238,0.0002224912353808,0.0001782494963806,0.0012043167881074,0.0008034659941935,0.0,1.101346165432102e-05,0.0007836986379386,1.101346165432102e-05,0.0007836986379386,0.0002224912353808,0.0001224213921238,749426789439059246
2024-04-25 06:12:11.607332,3,Default Dataset,No Bias Mitigation,NaiveBayes,,['sex'],{},0.6187777777777778,0.8908835532186129,0.5852902722009011,0.7061743092868481,0.5152222222222221,0.5591627655805872,0.4491644593318153,0.6445295597878924,0.5801694199869875,0.0908162389057882,0.1090926948683821,0.1099983062487718,0.0643601398009049,0.0908162389057882,0.1090926948683821,0.1099983062487718,1.247736332735384,0.1973779382275665,0.068,0.0263716666666666,0.2316353024868968,0.0263716666666666,0.2316353024868968,0.1090926948683821,0.0908162389057882,0.0001852839506172,2.3001081637815487e-06,0.0005643355233472,0.0002990785003497,0.0006066913580246,0.0004343584770439,0.0008813925121903,0.0001953951371355,0.000254495199171,0.0001089161099857,0.0003334738064263,0.0002097342777465,0.0002009338369047,0.0001089161099857,0.0003334738064263,0.0002097342777465,0.0023264935010598,0.0009172506786961,5.555555555555566e-06,1.3997722724279869e-05,0.0011725926018155,1.3997722724279869e-05,0.0011725926018155,0.0003334738064263,0.0001089161099857,749426789439059246
2024-04-25 06:12:11.486147,3,Default Dataset,FYP VAE,SupportVectorClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.8210000000000001,0.8338483338098742,0.9638891990155296,0.8941093740138847,0.9063333333333332,0.9099704632927904,0.9008607595413282,0.8305834113472002,0.8065102051444913,-0.0017711467972023,0.0046886738637506,0.0091097037514622,0.0240732062027089,0.0047752535560645,0.006382130790079,0.0091097037514622,1.0101043525270736,0.0100011627708555,0.0,0.0021835555555555,0.0978725574221939,0.0021835555555555,0.0978725574221939,0.006382130790079,0.0047752535560644,4.674074074074083e-05,9.627178948932098e-05,1.5918513605261866e-05,1.5151954871339346e-05,6.45185185185182e-05,7.146635512113784e-05,5.577196098611336e-05,8.188441593860722e-06,0.000164791390743,2.424823675483502e-05,2.642099508277844e-05,1.897884993023667e-06,0.0001002528524898,4.582151207368305e-06,7.673064261721604e-06,1.897884993023667e-06,2.1792042955546328e-06,2.0906787148979e-06,0.0,1.214202798353915e-07,0.0004204343179738,1.214202798353915e-07,0.0004204343179738,7.673064261721604e-06,4.582151207368407e-06,749426789439059246
2024-04-25 06:12:11.368466,3,Default Dataset,No Bias Mitigation,SupportVectorClassifier,,['sex'],{},0.8207777777777778,0.8375981452319596,0.9570970488468772,0.8933137129210641,0.895888888888889,0.9029589482878884,0.8853051561366566,0.8294891814232116,0.8077123682587367,0.0108990776285201,0.0089690351304785,0.0176537921512317,0.0217768131644748,0.0108990776285201,0.0105783914924374,0.0176537921512317,1.0199190998326584,0.0194562346131712,0.0043333333333333,0.0042354074074074,0.1723118728097652,0.0042354074074074,0.1723118728097652,0.0105783914924374,0.0108990776285201,1.3802469135802513e-05,6.512484121799608e-05,3.675335654286964e-05,4.690965683480194e-06,6.609876543209813e-05,0.0001190123010661,2.260156053926704e-05,1.5569923806902424e-08,7.719228287133573e-05,3.17037891175463e-05,7.487511021959488e-05,6.145243251995385e-05,7.539443568347171e-05,3.17037891175463e-05,4.341633482408079e-05,6.145243251995385e-05,7.812177801185671e-05,7.26103460514168e-05,7.407407407407415e-08,3.62669979698218e-06,0.0065693391807723,3.62669979698218e-06,0.0065693391807723,4.341633482408079e-05,3.17037891175463e-05,749426789439059246
2024-04-25 06:12:11.234917,1,Default Dataset,FYP VAE,DecisionTreeRegressor,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.716,0.8177530017152659,0.8170522707797772,0.8174024860694385,0.7773333333333333,0.7822626492325184,0.7703464947622884,0.7208641273450824,0.709105560032232,0.0109281561182276,0.0026339603251626,0.0119161544702299,0.0117585673128503,0.0109281561182276,0.0026339603251626,0.0119161544702299,1.015468564537192,0.015232932931057,0.0,0.0028902222222222,0.0532821506209555,0.0028902222222222,0.0532821506209555,0.0026339603251626,0.0109281561182275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2316796900870603596
2024-04-25 06:12:09.735954,1,Default Dataset,No Bias Mitigation,DecisionTreeRegressor,,['sex'],{},0.7103333333333334,0.8188942098389204,0.8059125964010283,0.8123515439429929,0.7656666666666667,0.7777146105741899,0.7485898468976632,0.7185901080159182,0.6986301369863014,0.0284034633445684,0.0195294245006338,0.0291247636765267,0.0199599710296167,0.0284034633445684,0.0195294245006338,0.0291247636765267,1.0389061697767166,0.0374491661600954,0.0393333333333333,0.0070641111111111,0.1231235873570675,0.0070641111111111,0.1231235873570675,0.0195294245006338,0.0284034633445684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2316796900870603596
