time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|mean_pred,VAR|race|unprivileged mean_pred,VAR|race|privileged mean_pred,VAR|race|unprivileged acc,VAR|race|privileged acc,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[ERD] Error Rate Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[A_SPD] Absolute Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,id
2024-04-24 22:16:16.221569,3,Adult Dataset,FYP VAE,DecisionTreeRegressor,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8213079521031624,0.6283658836802918,0.6145993352301807,0.6213002019904377,0.23344591137038173,0.15643661430242414,0.24670079651348373,0.8821042533615991,0.810879273677207,-0.02102013294442956,0.009120534299747388,-0.09026418221105958,0.07122497968439216,0.02102013294442956,0.011626799963907733,0.09026418221105958,0.6333222654764007,0.5959707366193513,0.0,0.011303020941928164,0.46215928744252605,0.011303020941928164,0.46215928744252605,0.011626799963907733,0.021020132944429577,5.09047422386537e-06,0.0002201160829082266,5.2190393539873405e-05,6.906140605597618e-05,4.149888657398e-05,0.00033874217673785607,1.5807332993986433e-05,9.599582316580005e-05,1.559620465222667e-07,0.00013347332675032057,0.00016494136785319587,0.00023662718856457847,8.895304189554877e-05,0.00013347332675032057,0.00011294303636533955,0.00023662718856457847,0.004355233431110815,0.026737251966978712,0.0,5.659898750900828e-06,0.010720619199621856,5.659898750900828e-06,0.010720619199621856,0.00011294303636533955,0.00013347332675032106,1047653730413667967
2024-04-24 22:16:16.094700,3,Adult Dataset,No Bias Mitigation,DecisionTreeRegressor,,['race'],{},0.8181352983317982,0.617616021267332,0.6252531474611064,0.6212998228758158,0.2415310613038583,0.14923731108306,0.2573769501379485,0.8672103156148521,0.8095613119340679,-0.0651622561906148,-0.0758242193492748,-0.1081396390548884,0.0576490036807841,0.0651622561906148,0.0758242193492748,0.1081396390548884,0.5794489409734538,0.7427872154730508,0.0828983727356463,0.0135171886932271,0.5505916548495011,0.0135171886932271,0.5505916548495011,0.0758242193492748,0.0651622561906148,2.7232989674999737e-05,8.639679889251951e-05,8.71679186423841e-05,1.7012134181573532e-05,2.2456742255076524e-05,0.000251952073582,3.966887837724761e-06,0.0006915945986361,2.6095880203790186e-06,6.816568798224185e-05,0.0013359095451906,0.0001992844098757,0.000636287237567,6.816568798224185e-05,0.0013359095451906,0.0001992844098757,0.0033050143953885,0.0295363811942145,1.3197525765576752e-06,5.40303361325003e-06,0.0098199792700729,5.40303361325003e-06,0.0098199792700729,0.0013359095451906,6.816568798224171e-05,1047653730413667967
2024-04-24 22:16:16.000966,3,Adult Dataset,FYP VAE,RandomForestClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8524204277965408,0.7234890273049585,0.6176761926257618,0.6662463699467203,0.2037662470576195,0.1321689537016345,0.2160441208725727,0.9075145758214505,0.8429728578422307,-0.0135354484931951,0.0115453166904067,-0.0838751671709382,0.0645417179792194,0.0135354484931951,0.021043853806825,0.0838751671709382,0.611060856853446,0.6459292899201555,0.0,0.0104753475403441,0.4954702978850533,0.0104753475403441,0.4954702978850533,0.021043853806825,0.0135354484931951,1.9063092772499784e-06,0.0003462166469613,5.502292281013335e-05,6.423172394206484e-05,2.666738142790332e-05,0.0001503127232348,1.0488178728648506e-05,5.6516788483278126e-05,5.962239954000074e-08,6.40529327502132e-05,0.0004479611945976,8.140873179114288e-05,5.940958528013209e-05,6.40529327502132e-05,0.0001384117490363,8.140873179114288e-05,0.0022283078801535,0.014923332550042,0.0,2.4509761621479017e-06,0.0057505496611861,2.4509761621479017e-06,0.0057505496611861,0.0001384117490363,6.405293275021341e-05,1047653730413667967
2024-04-24 22:16:15.908963,3,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},0.8510899600859686,0.7204875441607107,0.6156690006680837,0.6636521417413898,0.2038685907276634,0.115275345118811,0.2189297798494201,0.9018258783241024,0.8422787725851304,-0.052556431289417,-0.0574872372869869,-0.103654434730609,0.0595471057389723,0.052556431289417,0.0640035280138041,0.103654434730609,0.5263989479250865,0.903566319705174,0.0863780575171425,0.012865576569892,0.6427204810037349,0.012865576569892,0.6427204810037349,0.0640035280138041,0.052556431289417,2.74005773037686e-05,0.0002664530204063,0.000182022078319,9.835868826266524e-06,1.3071835043999689e-05,3.678626596661245e-05,8.293999843316144e-06,0.0003927885218327,5.259737932389476e-06,0.0010332019088792,0.0044086322432515,2.307619274043765e-05,0.000307367333874,0.0010332019088792,0.003616963095928,2.307619274043765e-05,0.0005763424788046,0.0071908650271573,1.5920824733076676e-06,3.159008438521613e-07,0.0020337564152432,3.159008438521613e-07,0.0020337564152432,0.003616963095928,0.0010332019088792,1047653730413667967
2024-04-24 22:16:15.826195,3,Adult Dataset,FYP VAE,NaiveBayes,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.7849759492375395,0.5328906228086748,0.8037865741515109,0.6406465489858495,0.3600450312148194,0.233119754264535,0.3817396697615101,0.8472359541626653,0.7742900398376863,-0.0728077581590454,-0.0453385117008224,-0.148619915496975,0.0729459143249789,0.0728077581590454,0.0453385117008224,0.148619915496975,0.6106776100758332,0.6402220069606966,0.0,0.0185179197418865,0.4940033414929614,0.0185179197418865,0.4940033414929614,0.0453385117008224,0.0728077581590455,1.441253607415362e-05,0.0003803469269415,8.209867695263087e-06,0.0001763524767029,9.133525767922957e-06,8.996791468229935e-05,8.004223218695689e-06,4.798993455695969e-05,3.300382072470919e-05,0.0001193804311682,0.0003940550122573,8.809496243845445e-05,0.0001295754382915,0.0001193804311682,0.0003940550122573,8.809496243845445e-05,0.0006010783809696,0.0045140001169076,0.0,3.80358168060357e-06,0.0016458391304499,3.80358168060357e-06,0.0016458391304499,0.0003940550122573,0.0001193804311682,1047653730413667967
2024-04-24 22:16:15.745089,3,Adult Dataset,No Bias Mitigation,NaiveBayes,,['race'],{},0.7803704840855593,0.5261797390234678,0.8037238783250152,0.6357367644267002,0.3646504963667997,0.1686321376730627,0.3981632959163735,0.8705623267359622,0.7647936677622521,-0.1805413565532493,-0.1917219034474809,-0.2295311582433108,0.1057686589737101,0.1805413565532493,0.1917219034474809,0.2295311582433108,0.4237256543583539,1.379244951031368,0.1131920990686726,0.0286045373030736,0.8626597707144863,0.0286045373030736,0.8626597707144863,0.1917219034474809,0.1805413565532493,2.6227463902384024e-05,0.0004433874531384,1.6809405486564529e-06,0.0002285822833137,4.10589690484616e-06,0.0001943110953009,1.1034024180593667e-05,0.0002447987722981,8.668243570772053e-05,0.0001675732826203,0.0007985245134594,0.000259132943295,0.0006028516123908,0.0001675732826203,0.0007985245134594,0.000259132943295,0.0013826784213895,0.0480839987276667,5.061146388830682e-05,1.0138889931311388e-05,0.0081223511573552,1.0138889931311388e-05,0.0081223511573552,0.0007985245134594,0.0001675732826203,1047653730413667967
2024-04-24 22:16:15.656797,3,Adult Dataset,FYP VAE,SupportVectorClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.855490737897861,0.7685947913200377,0.5644743802088383,0.6507151276280503,0.1755193941254733,0.103104509042445,0.1878318886161468,0.911830523863881,0.8457326019104738,-0.025488613810933,-0.0134192854356142,-0.0847273795737017,0.0660979219534072,0.0287032938378828,0.0465019922025314,0.0847273795737017,0.5481918909133597,0.8330389935351127,0.0,0.010517422509392,0.6035153104981458,0.010517422509392,0.6035153104981458,0.0465019922025314,0.0287032938378828,1.416115463099974e-05,0.0005201019724313,0.0001404977390106,0.0001379648470438,0.0001061667628253,0.0001046975141335,9.620164628717944e-05,0.0002934062312466,4.435633743916544e-06,0.0006933997659611,0.0029458046692239,4.202582548576952e-05,0.000280438625804,0.0005191901228201,0.0009634466120221,4.202582548576952e-05,0.0013873225886293,0.0170100297307461,0.0,6.726221242434024e-07,0.0048482906789508,6.726221242434024e-07,0.0048482906789508,0.0009634466120221,0.0005191901228201,1047653730413667967
2024-04-24 22:16:15.568441,3,Adult Dataset,No Bias Mitigation,SupportVectorClassifier,,['race'],{},0.855183706887729,0.7544042753403152,0.5830122075491597,0.6576006481714302,0.18462798075939,0.1021714752784807,0.1986069702359607,0.9097054536523104,0.8457387846656146,-0.0436730241976665,-0.0432076808361367,-0.09643549495748,0.0639666689866956,0.0436730241976665,0.0602502873524274,0.09643549495748,0.5148975194812312,0.9473190500536096,0.0169890492273052,0.0119458032920725,0.6651305209905508,0.0119458032920725,0.6651305209905508,0.0602502873524274,0.0436730241976666,1.4223999991788047e-05,0.0002523889843852,9.932989129856924e-05,7.125730366482816e-05,0.0001027102679819,3.585431923613565e-05,0.0001052527885873,0.0002987773366245,1.2566998687204624e-06,0.0010647618564642,0.0040888062860396,6.892587824607476e-05,0.0002683445127967,0.0010647618564642,0.002325612843227,6.892587824607476e-05,0.0007223311668766,0.0098755554144282,1.4161154630999744e-05,4.6410835938764746e-07,0.002667079804354,4.6410835938764746e-07,0.002667079804354,0.002325612843227,0.0010647618564642,1047653730413667967
2024-04-24 22:16:15.482150,1,Adult Dataset,FYP VAE,DecisionTreeRegressor,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=[])KL divergence loss: {'weight': 0.05}, Reconstruction loss: {'weight': 15}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8213079521031624,0.6322147651006711,0.6046213093709885,0.6181102362204725,0.2287381025483573,0.1510204081632653,0.2425009035056017,0.8795918367346939,0.8109866281170943,-0.0185836287873219,0.004470300061237,-0.0914804953423364,0.0686052086175995,0.0185836287873219,0.004470300061237,0.0914804953423364,0.6227622494601417,0.6057492259154709,0.0,0.0116922536839714,0.4735904550852585,0.0116922536839714,0.4735904550852585,0.004470300061237,0.0185836287873219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7429228529919535148
2024-04-24 22:16:14.903872,1,Adult Dataset,No Bias Mitigation,DecisionTreeRegressor,,['race'],{},0.816088424930918,0.6153846153846154,0.6161745827984596,0.6157793457344451,0.2394841879029782,0.1469387755102041,0.2558727864112757,0.863265306122449,0.8077340079508493,-0.0667023884251729,-0.0877117779138598,-0.1089340109010716,0.0555312981715996,0.0667023884251729,0.0877117779138598,0.1089340109010716,0.5742649602213767,0.7413564630767375,0.0813632176849861,0.0139230126105186,0.5546643859954108,0.0139230126105186,0.5546643859954108,0.0877117779138598,0.0667023884251729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7429228529919535148
