time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute
2023-12-04 22:48:52.912749,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.0912866901807461,0.0773263855382931,0.1237850673735365,0.831839153756705,0.2021554834054835,0.0347705146036161,0.0260155021365248,0.1841161816622313,0.6536856745479833,0.6295503211991434,0.7945945945945946,0.7025089605734767,0.0260155021365248,0.0260155021365248,0.1841161816622313,0.3846365283136225,0.0773263855382931,0.091286690180746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.896697,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.0678442066879444,0.0112258355045192,0.0211508725425226,1.033105713544818,0.0320448460508702,0.1821974965229485,0.0044452095999504,0.0325695213437097,0.6689847009735744,0.6404255319148936,0.8135135135135135,0.7166666666666667,0.0044452095999504,0.0044452095999504,0.0325695213437097,0.060357032602506,0.0112258355045192,0.0678442066879444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.881170,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],{},0.0609918716071211,0.0066904692978223,0.011698328547235,1.0212339408924602,0.0207924355450856,0.1947148817802503,0.0024585993914434,0.021011642116134,0.6717663421418637,0.6666666666666666,0.7243243243243244,0.694300518134715,0.0024585993914434,0.0024585993914434,0.021011642116134,0.0263951945665955,0.0066904692978223,0.0609918716071211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.866847,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['race'],{},0.1240319454600832,0.1083341374762777,0.1561924747809439,0.7967615990802176,0.2550805675805674,0.0,0.0328264607968492,0.2271997677985428,0.655076495132128,0.6286919831223629,0.8054054054054054,0.7061611374407584,0.0328264607968492,0.0328264607968492,0.2271997677985428,0.5156647907200266,0.1083341374762777,0.1240319454600832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.850318,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.0912866901807461,0.0773263855382931,0.1237850673735365,0.831839153756705,0.2021554834054835,0.0347705146036161,0.0260155021365248,0.1841161816622313,0.6536856745479833,0.6295503211991434,0.7945945945945946,0.7025089605734767,0.0260155021365248,0.0260155021365248,0.1841161816622313,0.3846365283136225,0.0773263855382931,0.091286690180746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.833373,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x00000283C46FC760>},0.0362850717769228,0.0513364855736755,0.0707606214564464,0.9044731610337972,0.1056160017584348,0.0931849791376912,0.0148715280262921,0.1004026472970393,0.6453407510431154,0.6156941649899397,0.827027027027027,0.7058823529411764,0.0148715280262921,0.0148715280262921,0.1004026472970393,0.2413243352058198,0.0513364855736755,0.0362850717769229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-12-04 22:48:52.818430,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},,,,,,,,,0.6578581363004172,0.6497584541062802,0.727027027027027,0.6862244897959183,0.02414108607806,0.02414108607806,0.2406760300758504,0.3953127366441464,0.1046905222437136,0.1185054013907055,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185054013907054,0.1046905222437136,0.1484230055658627,1.272108843537415,0.2139037433155081,0.2461752433936022,0.02414108607806,0.2406760300758504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.802883,1,Compas Dataset,Reweighing Bias Mitigation,RandomForestClassifier,,['sex'],{},,,,,,,,,0.6522948539638387,0.6470588235294118,0.7135135135135136,0.6786632390745502,0.0175022874065935,0.0175022874065935,0.1800514082594155,0.2701495936901403,0.1075112830431979,0.0706463487103774,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706463487103774,0.1075112830431979,0.1076066790352504,1.1972789115646258,0.1647727272727273,0.2559109874826147,0.0175022874065935,0.1800514082594155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.787936,1,Compas Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,['sex'],{},,,,,,,,,0.6383866481223922,0.6368159203980099,0.6918918918918919,0.6632124352331606,0.0164267710717056,0.0164267710717056,0.1719014038974911,0.2469507849931327,0.0911508704061895,0.0692165807320251,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692165807320252,0.0911508704061895,0.1009942438513867,1.1875607385811469,0.1579378068739771,0.2656467315716272,0.0164267710717056,0.1719014038974911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.772985,1,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],{},,,,,,,,,0.6648122392211405,0.6546762589928058,0.7378378378378379,0.6937738246505718,0.0093798178199129,0.0093798178199129,0.0966697993203644,0.1433487467944446,0.0159574468085106,0.0248694305930338,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248694305930338,0.0159574468085106,0.0576685219542362,1.1014965986394558,0.0921442687747035,0.0,0.0093798178199129,0.0966697993203644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.757973,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},,,,,,,,,0.6578581363004172,0.6497584541062802,0.727027027027027,0.6862244897959183,0.02414108607806,0.02414108607806,0.2406760300758504,0.3953127366441464,0.1046905222437136,0.1185054013907055,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185054013907054,0.1046905222437136,0.1484230055658627,1.272108843537415,0.2139037433155081,0.2461752433936022,0.02414108607806,0.2406760300758504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.735736,1,Compas Dataset,FYP VAE,RandomForestClassifier,,['sex'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x00000283C46FC760>},,,,,,,,,0.6105702364394993,0.6130653266331658,0.6594594594594595,0.6354166666666666,0.00365598178586,0.00365598178586,0.0401302175361218,0.0511184539290231,0.0004835589941972,0.0005924516186649,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005924516186649,0.0004835589941972,0.0224775224775224,1.040946314831665,0.0393356643356642,0.2920723226703755,0.00365598178586,0.0401302175361218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.719036,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},,,,,,,,,0.6898470097357441,0.6594360086767896,0.8216216216216217,0.7316486161251504,0.0219030062229065,0.0219030062229065,0.198400546927612,0.4285383842724668,0.0849451966473242,0.0981417976223179,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981417976223179,0.0849451966473242,0.1346629560915275,1.219450743260267,0.1799586776859504,0.1084840055632823,0.0219030062229065,0.198400546927612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
