time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,mean_pred,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|race|unprivileged mean_pred,VAR|race|privileged mean_pred,VAR|race|unprivileged acc,VAR|race|privileged acc,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[ERD] Error Rate Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[A_SPD] Absolute Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|mean_pred,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,id
2024-02-23 00:33:00.393515,1,Adult Dataset,FYP VAE,SupportVectorClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.01}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.1696035242290749,0.2550838387442026,0.8700440528634361,0.8159115233678202,-0.0010644527885907,0.0137862137862138,-0.0459891148722027,0.0541325294956159,0.0010644527885907,0.0137862137862138,0.0459891148722027,0.7353028973577327,0.3599837612410348,0.013816395455941,0.0055169428421757,0.3074727594127303,0.8234571691740866,0.6990825688073394,0.4810606060606061,0.5699326851159311,0.1673319005219527,0.0055169428421757,0.0055169428421758,0.3074727594127303,0.0541657256850349,0.0137862137862138,0.0010644527885906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:32:06.261262,1,Adult Dataset,FYP VAE,SupportVectorClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.01}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.1696035242290749,0.2550838387442026,0.8678414096916299,0.816981805208705,-0.0343537688365274,-0.0495504495504495,-0.0572663650179716,0.050859604482925,0.0343537688365274,0.0495504495504495,0.0572663650179716,0.6231980724286985,0.6046262725153284,0.0098249923242247,0.0068697835011885,0.4728908774523678,0.8240712311943507,0.7334754797441365,0.4343434343434343,0.5455987311657415,0.1439975437519189,0.0068697835011885,0.0068697835011885,0.4728908774523678,0.0653471002594809,0.0495504495504495,0.0343537688365274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:31:08.629023,1,Adult Dataset,FYP VAE,SupportVectorClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.01}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.1696035242290749,0.2550838387442026,0.8700440528634361,0.8144844809133072,0.0164433267881543,0.0399600399600399,-0.0318428493071457,0.0555595719501289,0.0164433267881543,0.0399600399600399,0.0318428493071457,0.794814927338093,0.258154528311503,0.039914031317163,0.0038199295648049,0.2296459872300946,0.8222290451335585,0.7169042769857433,0.4444444444444444,0.5487139516757599,0.1507522259748234,0.0038199295648049,0.003819929564805,0.2296459872300946,0.0369993624039818,0.0399600399600399,0.0164433267881543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:30:13.937532,1,Adult Dataset,FYP VAE,SupportVectorClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.01}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.1696035242290749,0.2550838387442026,0.8656387665198237,0.8187656082768462,-0.0293333582126685,-0.0431568431568431,-0.0544586432723906,0.0468731582429775,0.0293333582126685,0.0431568431568431,0.0544586432723906,0.6600276679454098,0.5150880009513616,0.0082898372735646,0.0065329637900428,0.415473523710923,0.8252993552348787,0.7243460764587525,0.4545454545454545,0.5585725368502715,0.1525944120356156,0.0065329637900428,0.0065329637900428,0.415473523710923,0.0628302249049508,0.0431568431568431,0.0293333582126685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:29:12.283466,1,Adult Dataset,FYP VAE,SupportVectorClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.01}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.1696035242290749,0.2550838387442026,0.8656387665198237,0.816981805208705,-0.0289627996524548,-0.0421578421578421,-0.0535125204115791,0.0486569613111188,0.0289627996524548,0.0421578421578421,0.0535125204115791,0.654388030613695,0.5281453101490639,0.0098249923242247,0.0064194650684588,0.4240547844878695,0.8237642001842186,0.7270833333333333,0.4406565656565656,0.5487421383647798,0.1473748848633712,0.0064194650684588,0.0064194650684588,0.4240547844878695,0.0613923233688165,0.0421578421578421,0.0289627996524548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:28:12.843928,1,Adult Dataset,LFR,SupportVectorClassifier,,['race'],{'c': 'LFR'},0.1696035242290749,0.2550838387442026,0.8898678414096917,0.8326792722083483,0.0539115099459927,0.114085914085914,-0.0267389722465388,0.0571885692013434,0.0539115099459927,0.114085914085914,0.0267389722465388,0.8606889605816943,0.1618599119990487,0.0696960392999693,0.0032076586373234,0.1500220935020337,0.8406509057414799,0.7226753670473083,0.5593434343434344,0.6306049822064058,0.1882100092109303,0.0032076586373234,0.0032076586373234,0.1500220935020337,0.0325545202887322,0.114085914085914,0.0539115099459927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:16:47.118982,1,Adult Dataset,Reweighing Bias Mitigation,SupportVectorClassifier,,['race'],{},0.1696035242290749,0.2550838387442026,0.8964757709251101,0.8487334998216197,-0.0031175720830893,0.0149850149850149,-0.0611899459515528,0.0477422711034904,0.0031175720830893,0.0149850149850149,0.0611899459515528,0.7037730250393737,0.4209126585152272,0.0202640466687135,0.0073404638308137,0.3512993824231294,0.855388394227817,0.7488372093023256,0.6098484848484849,0.6722338204592901,0.198035001535155,0.0073404638308137,0.0073404638308137,0.3512993824231294,0.0742910373762407,0.0149850149850149,0.0031175720830893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:10:10.270518,1,Adult Dataset,FairBalance Bias Mitigation,SupportVectorClassifier,,['race'],{},0.1696035242290749,0.2550838387442026,0.8436123348017621,0.7941491259364966,-0.0176912168291479,0.027172827172827,-0.1010984140654836,0.0494632088652655,0.0176912168291479,0.027172827172827,0.1010984140654836,0.7390618281532683,0.3530667691209967,0.0423702793982192,0.0121279605703178,0.302373696914858,0.8010439054344489,0.5592105263157895,0.8585858585858586,0.6772908366533865,0.3733497083205404,0.0121279605703178,0.0121279605703178,0.302373696914858,0.152758008018294,0.027172827172827,0.0176912168291478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-23 00:04:16.139298,1,Adult Dataset,FairMask Bias Mitigation,SupportVectorClassifier,DecisionTreeRegressor,['race'],{},0.1696035242290749,0.2550838387442026,0.8920704845814978,0.8512308241170174,-0.0435202249857422,-0.0583416583416583,-0.0805948943941434,0.0408396604644803,0.0435202249857422,0.0583416583416583,0.0805948943941434,0.6131721078993422,0.6308634837058817,0.0,0.0096683188397791,0.4891096191583675,0.8569235492784771,0.7538940809968847,0.6111111111111112,0.6750348675034868,0.197113908504759,0.0096683188397791,0.0096683188397791,0.4891096191583675,0.0969506414453269,0.0583416583416583,0.0435202249857422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
2024-02-22 23:59:41.720315,1,Adult Dataset,No Bias Mitigation,SupportVectorClassifier,,['race'],{},0.1696035242290749,0.2550838387442026,0.8920704845814978,0.8508740635033892,-0.0534569836293974,-0.0741258741258741,-0.086783983805897,0.0411964210781085,0.0534569836293974,0.0741258741258741,0.086783983805897,0.5870025354704084,0.7035701544263797,0.0159656125268652,0.0104107739321339,0.5327261397929971,0.8566165182683451,0.751937984496124,0.6123737373737373,0.6750173973556018,0.198035001535155,0.0104107739321339,0.0104107739321339,0.5327261397929971,0.1042442451392958,0.0741258741258741,0.0534569836293974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253609376391077565
