time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[ERD] Error Rate Difference,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[ERD] Error Rate Difference,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-02-16 09:48:49.933837,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Flipped ADV loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, KL divergence loss: {'weight': 0.005}, Reconstruction loss: {'weight': 17}""}",0.6620305980528511,0.6899766899766899,0.729064039408867,0.003216564880258,0.0197682350993514,0.0261327713382508,0.0197682350993514,0.0261327713382508,0.0084831537775337,0.0019131036964103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6992705789267294314
2024-02-16 09:48:49.908714,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 17}, KL divergence loss: {'weight': 0.005}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}""}",0.6620305980528511,0.7042606516290727,0.6921182266009852,-0.0337867975022301,-0.0006013635441122,-0.0315595363540568,0.0006013635441122,0.0315595363540568,-0.0180728058738763,0.0040757426575699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6992705789267294314
2024-02-16 09:06:58.602725,1,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.8311329444273872,0.6421319796954315,0.6537467700258398,0.0262804867950152,-0.0351280976421972,-0.0513978690465348,0.0351280976421972,0.0513978690465348,-0.0702406422345716,0.0087956795825509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8241861896518860921
2024-02-16 09:06:58.585078,1,Adult Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.8332821614983114,0.6490322580645161,0.6498708010335917,0.0311172707439688,-0.0692161379496884,-0.1034696293598033,0.0692161379496884,0.1034696293598033,-0.0925335111964961,0.0115872390860939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8241861896518860921
2024-02-16 09:06:58.571031,1,Adult Dataset,EqOdds ALT,MLPClassifier,,['race'],{'c': 'EqO ALT2'},0.8311329444273872,0.6513513513513514,0.6227390180878553,0.0164729192795337,-0.2196713900038744,-0.3692924141699298,0.2196713900038744,0.3692924141699298,-0.1657552685186718,0.0207562201117283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8241861896518860921
2024-02-16 09:06:58.556503,1,Adult Dataset,EqOdds,MLPClassifier,,['race'],{'c': 'EqO2'},0.8329751304881793,0.6628895184135978,0.6046511627906976,0.0388327880502453,-0.1770235714272988,-0.2786631454330206,0.1770235714272988,0.2786631454330206,-0.15352065175005,0.0192241759064272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8241861896518860921
2024-02-16 09:06:58.540852,1,Adult Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=1400, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Flipped ADV loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, KL divergence loss: {'weight': 0.005}, Reconstruction loss: {'weight': 17}""}",0.8265274792754068,0.6552748885586924,0.5697674418604651,0.0341300037188657,-0.0291119691891648,-0.0424551498042072,0.0291119691891648,0.0424551498042072,-0.0607334446483714,0.0076051684904547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8241861896518860921
2024-02-16 09:06:58.522369,1,Adult Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1400, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 17}, KL divergence loss: {'weight': 0.005}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.8111759287688056,0.6195488721804512,0.5322997416020672,0.0472183034443924,-0.0615505020860648,-0.0853109917129587,0.0615505020860648,0.0853109917129587,-0.0823736300797523,0.0103149976022923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8241861896518860921
2024-02-16 08:28:18.813216,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.6383866481223922,0.6783042394014963,0.674937965260546,-0.0125437921900367,-0.1409192657443175,-0.1307137129109863,0.1409192657443175,0.1307137129109863,-0.1482354951721781,0.0335576571540213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4842871287805106077
2024-02-16 08:28:18.799116,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6258692628650904,0.6634146341463415,0.674937965260546,0.0051696146287276,-0.1752423911242812,-0.1414862336273723,0.1752423911242812,0.1414862336273723,-0.1782363496539348,0.0403492719953729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4842871287805106077
