bias mitigation,other,DecisionTreeRegressor,ElasticNet,LogisticRegression,NaiveBayes,RandomForestClassifier,SupportVectorClassifier,nn keras
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",4,1,0,0,2,0,0
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",3,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",5,1,0,0,1,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",2,1,0,0,1,0,0
FairBalance Bias Mitigation,{},14,1,0,0,10,0,1
FairMask Bias Mitigation,{},8,32,0,0,0,0,2
LFR,{'c': 'LFR'},9,0,0,1,2,0,2
No Bias Mitigation,{},32,32,32,32,32,32,32
Reweighing Bias Mitigation,{},7,5,0,0,9,0,0
