bias mitigation,other,DecisionTreeRegressor,ElasticNet,LogisticRegression,NaiveBayes,RandomForestClassifier,SupportVectorClassifier,nn keras
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",8,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",8,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",10,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",4,0,0,0,0,0,0
FairBalance Bias Mitigation,{},19,20,0,1,15,0,0
FairMask Bias Mitigation,{},23,40,40,0,24,36,15
LFR,{'c': 'LFR'},13,0,0,1,7,0,0
No Bias Mitigation,{},40,40,40,40,40,40,40
Reweighing Bias Mitigation,{},5,11,0,0,11,0,0
