bias mitigation,other,DecisionTreeRegressor,ElasticNet,LogisticRegression,NaiveBayes,RandomForestClassifier,SupportVectorClassifier,nn keras
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",5,1,0,0,2,0,0
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",5,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",6,1,0,0,1,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",3,1,0,0,1,0,0
FairBalance Bias Mitigation,{},17,1,0,0,11,0,1
FairMask Bias Mitigation,{},10,40,0,0,0,0,2
LFR,{'c': 'LFR'},9,0,0,1,2,0,2
No Bias Mitigation,{},40,40,40,40,40,40,40
Reweighing Bias Mitigation,{},8,12,0,0,11,0,0
