bias mitigation,other,accuracy,precision,recall,f1score,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",6,8,0,0,6,1,13,30,38,23,53,68,0,0,179,179,1,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",4,5,0,0,0,0,7,33,39,22,54,103,4,0,175,177,3,0,4,0,0,0
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",3,6,0,0,3,4,7,33,35,41,52,75,0,0,181,181,1,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",0,3,0,0,1,3,2,33,42,30,61,87,1,0,185,186,2,0,1,0,0,0
FairBalance Bias Mitigation,{},34,33,172,138,30,9,37,42,90,90,75,72,128,133,154,169,52,37,128,133,134,134
FairMask Bias Mitigation,{},105,95,139,108,109,88,123,122,64,106,74,109,50,103,190,140,49,99,50,103,79,79
No Bias Mitigation,{},206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
Reweighing Bias Mitigation,{},83,166,3,28,72,54,89,96,45,21,61,52,8,0,182,199,22,5,8,0,1,1
,,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
