bias mitigation,other,DecisionTreeRegressor,ElasticNet,LogisticRegression,NaiveBayes,RandomForestClassifier,SupportVectorClassifier,nn keras
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",5,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",5,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",7,0,0,0,0,0,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",3,0,0,0,0,0,0
FairBalance Bias Mitigation,{},15,17,0,1,13,0,0
FairMask Bias Mitigation,{},20,32,32,0,21,29,12
LFR,{'c': 'LFR'},9,0,0,1,6,0,0
No Bias Mitigation,{},32,32,32,32,32,32,32
Reweighing Bias Mitigation,{},4,9,0,0,10,0,0
