index,data,bias mitigation,ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,sex|unprivileged mean_pred,race|privileged mean_pred,sex|privileged mean_pred,race|unprivileged acc,sex|unprivileged acc,race|privileged acc,sex|privileged acc,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,sex|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,sex|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,acc * sf
13,Adult Dataset,No Bias Mitigation,LogisticRegression,"['race', 'sex']",{},1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4752770319775783430,-2.4699999999999998
14,Adult Dataset,FYP VAE,ElasticNet,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}""}",0.9571865443425076,0.9572649572649573,0.38888888888888873,0.453070334177826,0.4062500000000001,0.37499999999999983,1.4782608695652188,0.4107142857142857,0.3004291845493555,0.9547511312217195,1.0010471204188482,0.9576816927322908,0.9319686935580975,0.11238704762824117,-0.6512769304460254,0.1414031261359496,-0.6854689882050872,0.5403491436100141,0.0006364118493825448,0.9294408129026128,1.381159118525447,0.11238704762824117,0.6512769304460254,0.1414031261359496,0.6854689882050872,0.5403491436100141,0.0006364118493825448,0.9130434782608696,4.920496894409938,1.4409310496267012,0.0004305138981116892,inf,inf,0.5403491436100205,0.0006364118493826001,1.3738501487643426,0.0010594841015180813,0.09459397758144383,0.09459397758144383,0.6953316354858711,0.298159293589285,0.62120106977875,0.6518215464493283,7281902509997704111,-0.11212589714820526
15,Adult Dataset,FYP VAE,ElasticNet,"['race', 'sex']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 28}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23, 24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23, 24]}, Pos Y vec loss: {'weight': 1200000}""}",0.9533639143730888,0.9125925925925926,0.35648148148148145,0.41712609556121005,0.390625,0.562499999999999,1.4347826086956519,0.366071428571428,0.28755364806866907,0.9638009049773756,0.9958115183246073,0.9512419503219871,0.9289584587597832,1.1523032634688732,-0.5448568472763556,0.9958197019265729,-0.5573296958998636,-0.34692028985507295,-0.0044498320579840515,1.0722685617511591,1.3636781766367598,1.1523032634688732,0.5448568472763556,0.9958197019265729,0.5573296958998636,0.34692028985507295,0.0044498320579840515,1.536585365853659,4.989617131732642,0.6167471819645731,0.003101398101019271,inf,inf,0.3469202898550637,0.004449832057984278,0.7652954289242051,0.007685838359252856,0.12405542999337628,0.12405542999337628,0.6664039078563586,0.417532582500017,0.5752492098225138,0.5520568959161893,7281902509997704111,-0.18563680723416068
16,Adult Dataset,Reweighing Bias Mitigation,ElasticNet,"['race', 'sex']",{},0.9938837920489297,1.0196863530196862,0.8842592592592593,0.9131955584073006,0.8671874999999999,0.9375000000000003,1.043478260869567,0.8571428571428571,0.8497854077253217,1.0,1.0010471204188482,0.9926402943882245,0.9897652016857315,1.32142880092632,0.6839895703016676,1.2513631406761192,0.6897215758645593,0.5654644268774686,0.8004848852185776,1.063563413051392,1.063127177348428,1.32142880092632,0.6839895703016676,1.2513631406761192,0.6897215758645593,0.5654644268774686,0.8004848852185776,1.09375,1.227931488801054,0.6031620553359687,0.7671313483344698,,,0.5654644268774606,0.8004848852185751,0.6317372319416252,0.8712738378177711,0.757396753647011,0.757396753647011,0.9507980297384783,0.8842798755656536,0.9048140043763676,0.8864897183070984,7281902509997704111,-1.830578388183794
17,Adult Dataset,FairBalance Bias Mitigation,ElasticNet,"['race', 'sex']",{},0.9766819571865444,0.6449739516611154,3.277777777777779,1.6605550309516317,5.082031250000004,4.562500000000003,8.434782608695665,5.156250000000004,4.751072961373391,0.9547511312217195,0.9717277486910996,0.9811407543698252,0.979530403371463,-1.1489495949322202,2.302388920360937,0.10996001454016602,1.0962850036106875,7.311429512516487,3.8134606157032125,0.726832433801301,0.9287927428452445,1.1489495949322202,2.302388920360937,0.10996001454016602,1.0962850036106875,7.311429512516487,3.8134606157032125,0.8848484848484849,1.7753426809630413,1.6025050986337466,0.45211131010914346,,,7.311429512516756,3.813460615703211,1.5027537000354063,0.6401519384868544,4.343412551651733,4.343412551651733,0.5653790847008712,5.646661054504833,0.7155010940919034,1.6169132819161554,7281902509997704111,-10.96264467890402
18,Adult Dataset,FairMask Bias Mitigation,ElasticNet,"['race', 'sex']",{},1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7281902509997704111,-2.4699999999999998
19,Adult Dataset,No Bias Mitigation,ElasticNet,"['race', 'sex']",{},1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7281902509997704111,-2.4699999999999998
725,Adult Dataset,FairBalance Bias Mitigation,ElasticNet,"['race', 'sex']",{},0.9581763376036171,0.6113211566111081,3.109004739336493,1.5729170078084433,5.085714285714286,5.1304347826087,6.625000000000021,5.081081081081082,4.918552036199095,0.9823232323232323,0.9645030425963489,0.9539415411868911,0.9544364508393285,3.705026143135452,4.4214476244480405,-0.9791666666666706,2.2768541005043894,4.994092550049238,4.432591313976781,1.3370477603951243,1.013242340799202,3.705026143135452,4.4214476244480405,0.9791666666666706,2.2768541005043894,4.994092550049238,4.432591313976781,1.009713228492137,1.3469411223551062,0.9734248190773915,0.6690703870153629,,,4.994092550049218,4.432591313976789,0.9784901346591547,0.8023160778077743,4.5592582966039625,4.559258296603935,0.7528824877533524,6.268806735055774,0.9638545953360768,2.0307527609682228,5554166624305989733,-11.346884177859797
726,Adult Dataset,FairMask Bias Mitigation,ElasticNet,"['race', 'sex']",{},1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5554166624305989733,-2.4699999999999998
727,Adult Dataset,No Bias Mitigation,ElasticNet,"['race', 'sex']",{},1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5554166624305989733,-2.4699999999999998
