data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.8069772797052502,0.6295270092396227,0.4747932612318719,0.5369021589329208,0.18091802272029472,0.15896072744651113,0.19178531602844834,0.8575817424503553,0.7821026529260301,0.07616853296631144,0.12002502640461613,-0.032824588581937195,0.07547908952432517,0.07668512446900033,0.12435065790009994,0.034397396713049457,0.8366124736556086,0.23478394100031733,0.13250690819772792,0.00761202413374972,0.00761202413374972,0.20374848489254616,0.12435065790009994,0.07668512446900035,3.803451094381601e+18,0.11337887626650289,0.06753914645379182,0.12548357384095793,0.6935984034387473,0.42799293526996635
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.8026327909118821,0.6156474796405391,0.4717142733055863,0.5306846273728529,0.18369665336198954,0.16805625887121867,0.19140319467631847,0.8463957406083139,0.7810953422851543,0.07814577959183525,0.11303463434628722,-0.023346935805099778,0.06530039832315955,0.07814577959183525,0.11973177815167753,0.027459442989104948,0.8822656460680232,0.17629179623546992,0.12287381025483571,0.006074571299585778,0.006074571299585778,0.15692369854145133,0.11973177815167753,0.07814577959183525,3.803451094381601e+18,0.11259594719066623,0.07110070617132329,0.1262665029167946,0.6900368437212159,0.4169493578681238
Adult Dataset,nn keras,['sex'],FairBalance Bias Mitigation,{},0.8088655204175621,0.5779362737531355,0.7460865370708579,0.6508778138939707,0.3087196806877494,0.15969557789852265,0.38218508733431833,0.8779669579854517,0.7747817249048118,-0.1020179521994106,-0.08338128751819665,-0.22248950943579565,0.10318523308063987,0.1020179521994106,0.08374636255230307,0.22248950943579565,0.4185494430672268,1.4091183603666884,0.17491556647221365,0.049191696324177955,0.049191696324177955,0.8750891444662565,0.08374636255230307,0.1020179521994106,3.803451094381601e+18,0.17822382560638622,0.13049585508136322,0.0606386245010746,0.6306416948111759,0.5307070946880956
Adult Dataset,nn keras,['sex'],FairMask Bias Mitigation,{},0.8522797052502302,0.7389350816490012,0.5953410545625714,0.656894880866172,0.19324531777709547,0.0691290557902594,0.2543901939882876,0.9265689901307501,0.8156793158516379,-0.10601141024563317,-0.13451779517067106,-0.1852611381980282,0.11088967427911223,0.10601141024563317,0.13451779517067106,0.1852611381980282,0.27080817281247216,2.766189069192596,0.0,0.040951170662955984,0.040951170662955984,1.31596971634341,0.13451779517067106,0.10601141024563317,3.803451094381601e+18,0.1421937365673933,0.05105158120970217,0.09666871354006754,0.710085968682837,0.5713673854208635
Adult Dataset,nn keras,['sex'],LFR,{'c': 'LFR'},0.8440128953024255,0.7058709443129496,0.5981908259675778,0.646309032947794,0.20280165796745467,0.08237328624896856,0.26214713764093095,0.9194847693961714,0.8068444597288373,-0.09101236685194801,-0.10404107542778099,-0.17977385139196234,0.11264030966733404,0.09101236685194801,0.10621003326548999,0.17977385139196234,0.3149249574733756,2.2442203793384943,0.07475437519189435,0.039742213671901366,0.039742213671901366,1.166005963158558,0.10621003326548999,0.09101236685194801,3.803451094381601e+18,0.14283850168867052,0.059963156278784145,0.09602394841879028,0.7011743936137551,0.5512046087970663
Adult Dataset,nn keras,['sex'],No Bias Mitigation,{},0.8525637089346023,0.7447629206490161,0.5905383810447086,0.6553713129549413,0.19059717531470674,0.0680730970306221,0.25098149742455717,0.9266162470351358,0.8160856603159111,-0.10516354384870012,-0.13500906735738444,-0.18290840039393502,0.11053058671922456,0.10516354384870012,0.13500906735738444,0.18290840039393502,0.2712376003577938,2.770248609975168,0.019880257906048467,0.04043674996222204,0.04043674996222204,1.3158899663789816,0.13500906735738444,0.10516354384870012,3.803451094381601e+18,0.14101166717838498,0.04958550813632176,0.09785078292907581,0.7115520417562174,0.5718676064250855
Adult Dataset,nn keras,['sex'],Reweighing Bias Mitigation,{},0.8328446423088731,0.6726038364953071,0.5853887412460398,0.6256607583836827,0.207967454712926,0.12268572941392368,0.2499784851628351,0.9017223397060647,0.7989224105732972,-0.004774002495750993,0.03288063452146962,-0.12729275574891138,0.1027999291327675,0.02244537240813512,0.04775516739409111,0.12729275574891138,0.49216154136717416,1.0552426347202999,0.16723979121891308,0.028137030664168273,0.028137030664168273,0.7146430275568703,0.04775516739409111,0.022445372408135114,3.803451094381601e+18,0.13983727356463,0.06813018114829597,0.0990251765428308,0.6930073687442432,0.521012332262731
Compas Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}""}",0.6746522948539638,0.6890982664452674,0.7504733333839864,0.7163855317650747,0.600904033379694,0.6430372193615875,0.5907575760847797,0.6841378003458148,0.6725047542701109,0.017316089173496172,0.005513809470134958,0.05227964327680773,0.011633046075703968,0.03972808462128356,0.03891200567048249,0.05670313221769798,1.0888850012045819,0.08480591983259027,0.07673852573018076,0.00883466064171182,0.00883466064171182,0.1641846039772087,0.03891200567048249,0.03972808462128357,4.5462229956650163e+18,0.41289986091794156,0.18800417246175244,0.13734353268428373,0.26175243393602227,0.34071604486160956
Compas Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, Pos Y vec loss: {'weight': 1200000}""}",0.6770166898470097,0.6909023332894838,0.7531791687830369,0.718532617469149,0.6015299026425591,0.639680110845393,0.5923180678955411,0.6879927547931711,0.6745467532393083,0.01095399467367402,0.0024258049410683822,0.04736204294985184,0.01344600155386275,0.0372714679526044,0.044565646497852,0.05609410022589621,1.0809066567496877,0.08530128602025146,0.08230180806675934,0.008724594311756552,0.008724594311756552,0.15851355679882093,0.044565646497852,0.0372714679526044,4.5462229956650163e+18,0.41439499304589705,0.18713490959666204,0.13584840055632824,0.2626216968011127,0.34552299886355725
Compas Dataset,nn keras,['sex'],FairBalance Bias Mitigation,{},0.6318150208623088,0.6592412020572889,0.6851857624961857,0.6712590646389749,0.5721140472878998,0.631703385537175,0.5577337630979751,0.6426503018744651,0.6292768849475345,0.04833932682146365,0.03746164273589715,0.07396962243919994,0.01337341692693059,0.06655412192904632,0.06477649637109567,0.07792645530250783,1.1342165430288964,0.1183864389110876,0.3100139082058414,0.012170405504477096,0.012170405504477096,0.2025633385726752,0.06477649637109567,0.06655412192904633,4.5462229956650163e+18,0.37708623087621695,0.1950278164116829,0.17315716272600834,0.2547287899860918,0.2536207978661009
Compas Dataset,nn keras,['sex'],FairMask Bias Mitigation,{},0.6825799721835883,0.6973544025500907,0.7534642312013466,0.7222758312696215,0.5961752433936022,0.7059751696569603,0.5699967684944509,0.6978955328748062,0.6790419446180808,0.10283688528052197,0.07857840915953127,0.13597840116250923,0.018853588256725378,0.10283688528052197,0.07857840915953127,0.13597840116250923,1.2402273009038838,0.1912591848669672,0.0,0.021114842318859618,0.021114842318859618,0.410658393776583,0.07857840915953127,0.10283688528052197,4.5462229956650163e+18,0.41449930458970796,0.1816759388038943,0.1357440890125174,0.2680806675938804,0.3570874514439323
Compas Dataset,nn keras,['sex'],LFR,{'c': 'LFR'},0.6672809457579972,0.6763725449898343,0.760347280422881,0.7150529819596221,0.6189151599443672,0.6716329313174526,0.6063601573755932,0.6772473716508334,0.6649006586839505,0.034726596836061094,0.015665071503162643,0.06527277394185933,0.01234671296688286,0.04473658914275596,0.05285311324995633,0.06876409597621878,1.1098963140199587,0.09940908548121187,0.16415159944367172,0.010655639400264205,0.010655639400264205,0.19834140179313633,0.05285311324995633,0.04473658914275595,4.5462229956650163e+18,0.41821974965229486,0.20069541029207233,0.13202364394993046,0.24906119610570238,0.3229031200039625
